State,City,Name,Language,Time,Type,Price,Capacity,Booked
Gujarat,Surat,InoxRajImperialVarachhaRoad,Hindi,08:20,Imperial,260₹,5,1
Gujarat,Surat,InoxRajImperialVarachhaRoad,Hindi,08:20,Gold,140₹,23,0
Gujarat,Surat,InoxRajImperialVarachhaRoad,Hindi,08:20,Platinum,140₹,20,0
Gujarat,Surat,InoxRajImperialVarachhaRoad,Hindi,08:20,Silver,140₹,10,0
Maharashtra,Pune,InoxBundGarden,English,08:55,DressCircle,150₹,194,0
Maharashtra,Pune,InoxBundGarden,English,08:55,Galleria,150₹,55,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,English,08:55,RoyalRecliner,240₹,13,9
Maharashtra,Mumbai,InoxRCityGhatkoparW,English,08:55,Club,140₹,111,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,English,08:55,Royal,140₹,51,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,English,08:55,Executive,112₹,53,0
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,English,08:55,RoyalRecliner,240₹,13,9
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,English,08:55,Club,140₹,111,0
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,English,08:55,Royal,140₹,51,0
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,English,08:55,Executive,112₹,53,0
Maharashtra,Mumbai,InoxRaghuleelaMallVashi,English,08:55,Premier,140₹,101,0
Maharashtra,Mumbai,InoxRaghuleelaMallVashi,English,08:55,Silver,140₹,36,11
Maharashtra,Mumbai,InoxRaghuleelaMallVashi,English,08:55,Executive,112₹,32,0
WestBengal,Kolkata,InoxCityCentreSaltlake,English,09:00,DressCircle,150₹,158,0
WestBengal,Kolkata,InoxCityCentreSaltlake,English,09:00,Galleria,150₹,36,0
WestBengal,Kolkata,InoxCityCentreSaltlake,English,09:00,Royale,150₹,31,4
WestBengal,Kolkata,InoxCityCentreIiRajarhat,English,09:00,Club,112₹,229,3
WestBengal,Kolkata,InoxCityCentreIiRajarhat,English,09:00,Executive,112₹,42,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,English,09:00,Royal,230₹,14,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,English,09:00,Premier,112₹,36,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,English,09:00,Silver,112₹,147,12
Chhattisgarh,Raipur,CinemaxCityCenterPandri,Hindi,09:00,Prime,120₹,145,17
Chhattisgarh,Raipur,CinemaxCityCenterPandri,Hindi,09:00,Classic,112₹,26,0
Jharkhand,Ranchi,PvrNuclessMallRanchi,Hindi,09:00,Recliner,390₹,8,0
Jharkhand,Ranchi,PvrNuclessMallRanchi,Hindi,09:00,Prime,190₹,54,5
Jharkhand,Ranchi,PvrNuclessMallRanchi,Hindi,09:00,ClassicPlus,170₹,105,0
Jharkhand,Ranchi,PvrNuclessMallRanchi,Hindi,09:00,Classic,112₹,30,0
Gujarat,Jamnagar,InoxCrystalMallJamnagar,Hindi,09:00,Club,140₹,116,0
Gujarat,Jamnagar,InoxCrystalMallJamnagar,Hindi,09:00,Executive,140₹,20,0
Gujarat,Jamnagar,InoxCrystalMallJamnagar,Hindi,09:00,Royal,140₹,34,0
Rajasthan,Jaipur,InoxGtCentralMallMalviyaNagar,English,09:00,Executive,250₹,18,0
Rajasthan,Jaipur,InoxGtCentralMallMalviyaNagar,English,09:00,Royale,250₹,40,0
Gujarat,Gandhinagar,InoxR21Gandhinagar,Hindi,09:00,Gold,140₹,70,0
Gujarat,Gandhinagar,InoxR21Gandhinagar,Hindi,09:00,Platinum,140₹,10,0
Gujarat,Gandhinagar,InoxR21Gandhinagar,Hindi,09:00,Silver,140₹,17,0
Delhi,DelhiNcr,PvrPacificSubhashNagar,Hindi,09:00,Prime,250₹,88,2
Delhi,DelhiNcr,PvrPacificSubhashNagar,Hindi,09:00,Classic,230₹,52,0
Rajasthan,Bhiwadi,InoxGenesisMallBhiwadi,Hindi,09:00,Royale,170₹,34,0
Rajasthan,Bhiwadi,InoxGenesisMallBhiwadi,Hindi,09:00,Club,150₹,97,0
Rajasthan,Bhiwadi,InoxGenesisMallBhiwadi,Hindi,09:00,Executive,140₹,39,0
UttarPradesh,Lucknow,PvrPhoenixUnitedMallAlambagh,Hindi,09:00,Prime,190₹,9,9
UttarPradesh,Lucknow,PvrPhoenixUnitedMallAlambagh,Hindi,09:00,Classic,150₹,138,0
Maharashtra,Nagpur,PvrEmpressCityMallNagpur,Hindi,09:00,Prime,170₹,166,21
Maharashtra,Nagpur,PvrEmpressCityMallNagpur,Hindi,09:00,Classic,140₹,56,0
Chandigarh,Chandigarh,PvrElanteMallChandigarh,English,09:00,Recliner,450₹,26,2
Chandigarh,Chandigarh,PvrElanteMallChandigarh,English,09:00,Classic,180₹,140,4
Delhi,DelhiNcr,PvrSelectCityWalkSaket,English,09:00,DboxRecliner,700₹,8,0
Delhi,DelhiNcr,PvrSelectCityWalkSaket,English,09:00,Prime,99₹,47,4
Delhi,DelhiNcr,PvrSelectCityWalkSaket,English,09:00,ClassicNormal,99₹,112,0
UttarPradesh,Noida,PvrLogixCityCentreNoida,English,09:00,Classic,300₹,49,8
UttarPradesh,Noida,PvrLogixCityCentrePlayHouseNoida,English,09:00,Classic,300₹,49,8
