State,City,Name,Language,Time,Type,Price,Capacity,Booked
Maharashtra,Mumbai,InoxMegaplexInorbitMall,English,11:00,Insignia,300₹,34,0
Delhi,DelhiNcr,PvrDirectorsCutAmbienceVasantKunj,English,13:00,PlatinumSuperior,"1,500₹",6,1
Delhi,DelhiNcr,PvrDirectorsCutAmbienceVasantKunj,English,13:00,Platinum,"1,300₹",19,5
Karnataka,Bangalore,CinepolisForumShantiniketan,English,15:00,SingleSofa,250₹,6,0
Karnataka,Bangalore,CinepolisForumShantiniketan,English,15:00,Lounger,180₹,9,0
Karnataka,Bangalore,CinepolisForumShantiniketan,English,15:00,DoubleSofa,160₹,24,2
Karnataka,Bangalore,CinepolisForumShantiniketan,English,15:00,Normal,140₹,57,2
Haryana,Gurgaon,PvrAmbienceGoldGurgaon,English,17:10,PlatinumSuperior,700₹,16,3
Haryana,Gurgaon,PvrAmbienceGoldGurgaon,English,17:10,Platinum,600₹,28,2
Delhi,DelhiNcr,PvrSelectCityWalkGoldSaket,English,17:15,PlatinumSuperior,"1,200₹",16,0
Delhi,DelhiNcr,PvrSelectCityWalkGoldSaket,English,17:15,Platinum,"1,000₹",24,0
UttarPradesh,Noida,PvrLogixCityCentreNoida,English,20:30,Classic,320₹,94,3
Delhi,DelhiNcr,PvrPromenadeVasantKunj,English,21:05,Prime,450₹,21,9
Delhi,DelhiNcr,PvrPromenadeVasantKunj,English,21:05,Classic,430₹,84,2
Delhi,DelhiNcr,PvrPromenadeVasantKunj,English,21:05,Prime,450₹,21,9
Delhi,DelhiNcr,PvrPromenadeVasantKunj,English,21:05,Classic,430₹,84,5
Delhi,DelhiNcr,PvrPromenadeVasantKunj,English,21:05,Prime,450₹,21,14
Delhi,DelhiNcr,PvrPromenadeVasantKunj,English,21:05,Classic,430₹,84,5
Delhi,DelhiNcr,PvrPromenadeVasantKunj,English,21:05,Prime,450₹,21,7
Delhi,DelhiNcr,PvrPromenadeVasantKunj,English,21:05,Classic,430₹,84,5
Maharashtra,Pune,CinepolisSeasonsMall,English,23:00,Premium,260₹,22,8
Maharashtra,Pune,CinepolisSeasonsMall,English,23:00,Executive,260₹,49,3
Maharashtra,Pune,CinepolisSeasonsMall,English,23:00,Normal,240₹,17,0
Maharashtra,Mumbai,CinepolisVivianaMall,English,23:00,Normal,200₹,24,0
Maharashtra,Mumbai,CinepolisVivianaMall,English,23:00,Premium,200₹,12,12
Maharashtra,Mumbai,CinepolisVivianaMall,English,23:00,Executive,200₹,72,2
Delhi,DelhiNcr,CinepolisDlfAvenue,English,23:10,Vip,800₹,8,4
Delhi,DelhiNcr,CinepolisDlfAvenue,English,23:10,Premium,440₹,34,15
Delhi,DelhiNcr,CinepolisDlfAvenue,English,23:10,Executive,420₹,56,2
Delhi,DelhiNcr,CinepolisDlfAvenue,English,23:10,Normal,400₹,42,0
