State,City,Name,Language,Time,Type,Price,Capacity,Booked
Maharashtra,Mumbai,PvrDynamicJuhu,English,09:30,Prime,250₹,72,17
Maharashtra,Mumbai,PvrDynamicJuhu,English,09:30,Classic,220₹,40,3
Gujarat,Surat,PvrRahulRajPlayHouseDumasRoad,English,10:15,Recliner,300₹,20,7
Gujarat,Surat,PvrRahulRajPlayHouseDumasRoad,English,10:15,Prime,180₹,111,13
Gujarat,Surat,PvrRahulRajPlayHouseDumasRoad,English,10:15,Classic,180₹,26,0
Gujarat,Surat,PvrRahulRajPlayHouseDumasRoad,English,10:15,ClassicPlus,180₹,12,0
Maharashtra,Mumbai,PvrIconInfinitiAndheriW,EnglishDBOX,10:30,DboxRecliner,450₹,11,4
Maharashtra,Mumbai,PvrIconInfinitiAndheriW,EnglishDBOX,10:30,DboxPrime,210₹,32,30
Maharashtra,Mumbai,PvrIconInfinitiAndheriW,EnglishDBOX,10:30,Classic,110₹,42,0
Maharashtra,Mumbai,PvrIconInfinitiAndheriW,EnglishDBOX,10:30,Prime,110₹,126,21
Maharashtra,Mumbai,InoxAtriaMallWorli,English,10:30,Insignia,520₹,30,30
Gujarat,Ahmedabad,TimeCinemaAhmedabadCgSquareMall,English,11:00,Infinity1000,"1,000₹",12,0
Delhi,DelhiNcr,CinepolisDlfAvenue,English4DX,12:05,Normal,500₹,100,32
UttarPradesh,Lucknow,CinepolisOneAwadhCenterMall,English,12:25,Vip,500₹,10,1
UttarPradesh,Lucknow,CinepolisOneAwadhCenterMall,English,12:25,Premium,190₹,35,5
UttarPradesh,Lucknow,CinepolisOneAwadhCenterMall,English,12:25,Executive,180₹,68,5
UttarPradesh,Lucknow,CinepolisOneAwadhCenterMall,English,12:25,Normal,170₹,25,0
Haryana,Gurgaon,CinepolisAiriaMall,English,12:50,DoubleSofa,310₹,24,15
Haryana,Gurgaon,CinepolisAiriaMall,English,12:50,Lounger,290₹,8,0
Haryana,Gurgaon,CinepolisAiriaMall,English,12:50,Normal,270₹,22,20
Maharashtra,Mumbai,PvrIconOberoiPlayHouseGoregaonE,English,13:10,Recliner,490₹,26,23
Maharashtra,Mumbai,PvrIconOberoiPlayHouseGoregaonE,English,13:10,Prime,260₹,96,68
Maharashtra,Mumbai,PvrIconOberoiPlayHouseGoregaonE,English,13:10,Classic,240₹,22,0
Delhi,DelhiNcr,CinepolisSmartBharatMall,English,13:30,Premium,90₹,113,20
Delhi,DelhiNcr,CinepolisSmartBharatMall,English,13:30,Classic,90₹,75,0
Karnataka,Bangalore,CinepolisForumShantiniketan,English,16:10,SingleSofa,300₹,6,6
Karnataka,Bangalore,CinepolisForumShantiniketan,English,16:10,Lounger,280₹,9,9
Karnataka,Bangalore,CinepolisForumShantiniketan,English,16:10,DoubleSofa,250₹,24,24
Karnataka,Bangalore,CinepolisForumShantiniketan,English,16:10,Normal,200₹,57,57
Maharashtra,Mumbai,CinepolisSeawoodsLT,English4DX,16:20,Normal,450₹,108,45
Karnataka,Doddaballapur,PvrPlayhouseHeritageRslEcrChennai,English,16:30,3DPrime,246₹,67,44
Karnataka,Doddaballapur,PvrPlayhouseHeritageRslEcrChennai,English,16:30,3DClassic,101₹,8,8
UttarPradesh,Noida,PvrLogixCityCentreNoida,English,16:40,Classic,415₹,49,33
UttarPradesh,Noida,PvrLogixCityCentrePlayHouseNoida,English,16:40,Classic,415₹,49,33
