State,City,Name,Language,Time,Type,Price,Capacity,Booked
Maharashtra,Mumbai,CinepolisSeawoodsLT,English,09:30,Vip,420₹,14,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,English,09:30,Premium,220₹,40,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,English,09:30,Executive,200₹,74,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,English,09:30,Normal,180₹,49,0
UttarPradesh,Noida,PvrLogixCityCentrePlayHouseNoida,English,09:40,Classic,350₹,49,26
Maharashtra,Mumbai,PvrMarketCityKurlaW,English,09:45,Prime,170₹,143,23
Maharashtra,Mumbai,PvrMarketCityKurlaW,English,09:45,Classic,140₹,80,0
Maharashtra,Mumbai,InoxAtriaMallWorli,English,10:00,Insignia,450₹,30,0
Maharashtra,Mumbai,PvrCitiMallAndheriW,English,10:00,Recliner,330₹,24,7
Maharashtra,Mumbai,PvrCitiMallAndheriW,English,10:00,Prime,160₹,146,30
Maharashtra,Mumbai,PvrCitiMallAndheriW,English,10:00,Classic,120₹,46,0
Maharashtra,Mumbai,InoxMegaplexInorbitMall,English,10:30,Kiddles,150₹,53,42
Haryana,Gurgaon,PvrAmbienceGoldGurgaon,English,10:45,Platinum,700₹,28,5
Haryana,Gurgaon,PvrAmbienceGoldGurgaon,English,10:45,PlatinumSuperior,700₹,16,15
Maharashtra,Pune,PvrMarketCityGoldVimanNagar,English,10:45,GoldPrime,500₹,22,14
Maharashtra,Pune,PvrMarketCityGoldVimanNagar,English,10:45,GoldClassic,450₹,24,7
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,English,12:20,Recliner,400₹,7,3
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,English,12:20,Classic,220₹,63,6
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,English,12:20,Recliner,400₹,7,7
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,English,12:20,Classic,220₹,72,63
TamilNadu,Chennai,PvrHeritageRslEcrChennai,English,12:40,Prime,211₹,99,64
TamilNadu,Chennai,PvrHeritageRslEcrChennai,English,12:40,Classic,66₹,11,5
Maharashtra,Mumbai,InoxAtriaMallWorli,English,12:50,Insignia,800₹,27,8
Maharashtra,Mumbai,MetroInoxCinemaMGRoad,English,13:45,Kiddles,300₹,36,31
Maharashtra,Pune,CinepolisSeasonsMall,English,14:05,Premium,200₹,22,22
Maharashtra,Pune,CinepolisSeasonsMall,English,14:05,Normal,180₹,17,13
Maharashtra,Pune,CinepolisSeasonsMall,English,14:05,Executive,180₹,49,45
UttarPradesh,Noida,PvrLogixCityCentrePlayHouseNoida,English,15:35,Classic,375₹,38,35
Telangana,Hyderabad,PvrPlayHouseNextGalleriaMallPanjagutt,English,16:25,Classic,200₹,54,53
Maharashtra,Mumbai,CinepolisVipVivianaMall,English,16:55,Vip,500₹,74,38
