State,City,Name,Language,Time,Type,Price,Capacity,Booked
UttarPradesh,Lucknow,CinepolisOneAwadhCenterMall,Hindi,09:45,Vip,450₹,18,0
UttarPradesh,Lucknow,CinepolisOneAwadhCenterMall,Hindi,09:45,Normal,100₹,25,0
UttarPradesh,Lucknow,CinepolisOneAwadhCenterMall,Hindi,09:45,Premium,100₹,51,1
UttarPradesh,Lucknow,CinepolisOneAwadhCenterMall,Hindi,09:45,Executive,100₹,69,0
Maharashtra,Mumbai,PvrDynamicJuhu,Hindi,10:15,Prime,160₹,216,21
Maharashtra,Mumbai,PvrDynamicJuhu,Hindi,10:15,Classic,140₹,84,0
Maharashtra,Mumbai,PvrDynamicJuhu,Hindi,10:15,Prime,160₹,216,21
Maharashtra,Mumbai,PvrDynamicJuhu,Hindi,10:15,Classic,140₹,84,0
Chhattisgarh,Raipur,InoxCityMall36GERoad,Hindi,10:30,Club,80₹,36,0
Chhattisgarh,Raipur,InoxCityMall36GERoad,Hindi,10:30,Gold,80₹,216,0
Chhattisgarh,Raipur,InoxCityMall36GERoad,Hindi,10:30,Platinum,80₹,37,0
Delhi,DelhiNcr,PvrDirectorsCutAmbienceVasantKunj,Hindi,10:40,Platinum,500₹,19,0
Delhi,DelhiNcr,PvrDirectorsCutAmbienceVasantKunj,Hindi,10:40,PlatinumSuperior,500₹,6,2
Delhi,DelhiNcr,CinepolisDlfAvenue,Hindi,11:00,Vip,200₹,4,2
Delhi,DelhiNcr,CinepolisDlfAvenue,Hindi,11:00,Normal,100₹,42,0
Delhi,DelhiNcr,CinepolisDlfAvenue,Hindi,11:00,Premium,100₹,38,6
Delhi,DelhiNcr,CinepolisDlfAvenue,Hindi,11:00,Executive,100₹,59,0
WestBengal,Kolkata,InoxSwabhumiMaulanaAzadSarani,Hindi,11:15,Club,100₹,134,0
WestBengal,Kolkata,InoxSwabhumiMaulanaAzadSarani,Hindi,11:15,Executive,100₹,32,0
WestBengal,Kolkata,InoxSwabhumiMaulanaAzadSarani,Hindi,11:15,Royal,100₹,16,0
WestBengal,Kolkata,CinepolisLakeMall,Hindi,11:35,Normal,110₹,21,0
WestBengal,Kolkata,CinepolisLakeMall,Hindi,11:35,Premium,110₹,21,3
WestBengal,Kolkata,CinepolisLakeMall,Hindi,11:35,Executive,110₹,51,1
WestBengal,Kolkata,CinepolisAcropolisMall,Hindi,11:40,Normal,110₹,38,0
WestBengal,Kolkata,CinepolisAcropolisMall,Hindi,11:40,Premium,110₹,38,1
WestBengal,Kolkata,CinepolisAcropolisMall,Hindi,11:40,Executive,110₹,148,0
WestBengal,Kolkata,InoxForumMallElginRoad,Hindi,11:55,DressCircle,112₹,100,5
WestBengal,Kolkata,InoxForumMallElginRoad,Hindi,11:55,Galleria,112₹,28,0
WestBengal,Kolkata,InoxForumMallElginRoad,Hindi,11:55,Royal,112₹,33,4
Odisha,Bhubaneswar,InoxDnRegaliaMallPatrapada,Hindi,12:15,Club,112₹,50,0
Odisha,Bhubaneswar,InoxDnRegaliaMallPatrapada,Hindi,12:15,Executive,112₹,20,0
Odisha,Bhubaneswar,InoxDnRegaliaMallPatrapada,Hindi,12:15,Royal,112₹,59,1
Gujarat,Surat,InoxVrSuratDumasRoad,Hindi,12:15,RoyalRecliner,400₹,52,2
WestBengal,Kolkata,CarnivalSaltLake,Hindi,12:25,Silver,89₹,190,5
UttarPradesh,Lucknow,CinepolisOneAwadhCenterMall,Hindi,12:40,Vip,450₹,10,0
UttarPradesh,Lucknow,CinepolisOneAwadhCenterMall,Hindi,12:40,Normal,100₹,25,0
UttarPradesh,Lucknow,CinepolisOneAwadhCenterMall,Hindi,12:40,Premium,100₹,38,4
UttarPradesh,Lucknow,CinepolisOneAwadhCenterMall,Hindi,12:40,Executive,100₹,69,0
WestBengal,Howrah,InoxForumRangoliMallBelur,Hindi,12:40,Club,100₹,159,0
WestBengal,Howrah,InoxForumRangoliMallBelur,Hindi,12:40,Executive,100₹,69,0
Maharashtra,Mumbai,PvrCitiMallAndheriW,Hindi,12:45,Recliner,199₹,24,4
Maharashtra,Mumbai,PvrCitiMallAndheriW,Hindi,12:45,Classic,129₹,46,0
