State,City,Name,Language,Time,Type,Price,Capacity,Booked
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,13:00,Royale,400₹,9,0
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,13:00,Club,220₹,232,5
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,13:00,Executive,200₹,51,0
WestBengal,Kolkata,CinepolisLakeMall,Bengali,13:35,Premium,200₹,22,9
WestBengal,Kolkata,CinepolisLakeMall,Bengali,13:35,Executive,180₹,54,17
WestBengal,Kolkata,CinepolisLakeMall,Bengali,13:35,Normal,160₹,22,3
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,17:15,Recliner,360₹,12,5
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,17:15,Prime,200₹,11,8
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,17:15,Classic,140₹,100,38
WestBengal,Kolkata,CarnivalSaltLake,Bengali,18:25,Silver,140₹,166,34
WestBengal,Kolkata,InoxSouthCityMall,Bengali,19:40,Rr,450₹,16,0
WestBengal,Kolkata,InoxSouthCityMall,Bengali,19:40,Silver,290₹,151,34
WestBengal,Kolkata,InoxSouthCityMall,Bengali,19:40,Premier,270₹,32,0
