State,City,Name,Language,Time,Type,Price,Capacity,Booked
Maharashtra,Mumbai,InoxMegaplexInorbitMall,English,10:00,Insignia,300₹,33,0
Maharashtra,Mumbai,InoxAtriaMallWorli,English,10:45,Insignia,450₹,30,0
Haryana,Gurgaon,PvrAmbienceGoldGurgaon,English,15:30,PlatinumSuperior,800₹,12,3
Haryana,Gurgaon,PvrAmbienceGoldGurgaon,English,15:30,Platinum,600₹,28,9
UttarPradesh,Noida,PvrLogixCityCentreNoida,English,15:35,Classic,99₹,78,0
UttarPradesh,Noida,PvrLogixCityCentreNoida,English,15:35,Classic,99₹,78,17
Maharashtra,Mumbai,InoxRCityGhatkoparW,English,18:15,Insignia,700₹,42,2
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,English,18:15,Insignia,700₹,42,2
Maharashtra,Mumbai,MetroInoxCinemaMGRoad,English,18:30,Insignia,950₹,41,7
Delhi,DelhiNcr,PvrPromenadeVasantKunj,English,19:20,Prime,350₹,21,12
Delhi,DelhiNcr,PvrPromenadeVasantKunj,English,19:20,Classic,300₹,84,10
Maharashtra,Pune,InoxBundGarden,English,19:20,Royale,500₹,32,7
Maharashtra,Mumbai,InoxMegaplexInorbitMall,English,21:45,Insignia,800₹,33,3
Maharashtra,Mumbai,InoxLaserplexCr2NarimanPoint,English,21:55,Insignia,950₹,70,4
Maharashtra,Mumbai,InoxAtriaMallWorli,English,22:15,Insignia,"1,100₹",26,10
Delhi,DelhiNcr,PvrDirectorsCutAmbienceVasantKunj,English,22:25,Platinum,800₹,36,12
Delhi,DelhiNcr,PvrDirectorsCutAmbienceVasantKunj,English,22:25,PlatinumSuperior,800₹,10,9
Maharashtra,Mumbai,PvrDynamicJuhu,English,22:40,Prime,380₹,72,31
Maharashtra,Mumbai,PvrDynamicJuhu,English,22:40,Classic,360₹,40,0
