State,City,Name,Language,Time,Type,Price,Capacity,Booked
Maharashtra,Mumbai,CinepolisAndheri,Hindi,16:00,Normal,250₹,32,9
Maharashtra,Mumbai,CinepolisAndheri,Hindi,16:00,Premium,250₹,49,49
Maharashtra,Mumbai,CinepolisAndheri,Hindi,16:00,Executive,250₹,95,95
Maharashtra,Mumbai,CinepolisAndheri,Hindi,16:00,Platinum,250₹,22,22
UttarPradesh,Lucknow,PvrSaharaGanjMallHazratganj,Hindi,16:10,Recliner,340₹,12,0
UttarPradesh,Lucknow,PvrSaharaGanjMallHazratganj,Hindi,16:10,Classic,210₹,190,78
Maharashtra,Pune,CinepolisSeasonsMall,Hindi,16:30,Premium,250₹,22,2
Maharashtra,Pune,CinepolisSeasonsMall,Hindi,16:30,Normal,230₹,17,0
Maharashtra,Pune,CinepolisSeasonsMall,Hindi,16:30,Executive,230₹,49,0
Delhi,DelhiNcr,PvrPromenadeVasantKunj,Hindi,17:40,Classic,450₹,50,50
Delhi,DelhiNcr,PvrPromenadeVasantKunj,Hindi,17:40,Prime,450₹,44,44
Delhi,DelhiNcr,PvrPromenadeVasantKunj,Hindi,17:40,Classic,450₹,50,50
Delhi,DelhiNcr,PvrPromenadeVasantKunj,Hindi,17:40,Prime,450₹,44,44
