City,Name,Language,Time,Type,Price,Capacity,Booked
Kolhapur,InoxRelianceMegaMallLaxmipuri,Marathi,09:45,Club,140₹,98,0
Kolhapur,InoxRelianceMegaMallLaxmipuri,Marathi,09:45,Executive,140₹,25,0
Kolhapur,InoxRelianceMegaMallLaxmipuri,Marathi,09:45,Royale,140₹,36,8
Pune,InoxAmanoraMallHadapsar,Marathi,10:45,Royale,240₹,6,2
Pune,InoxAmanoraMallHadapsar,Marathi,10:45,Club,150₹,157,5
Pune,InoxAmanoraMallHadapsar,Marathi,10:45,Executive,150₹,42,0
Ahmednagar,AshaSquareMultiplexAhmednagar,Marathi,12:00,GoldenClass,150₹,100,0
Mumbai,CinepolisVivianaMall,Marathi,12:00,Premium,240₹,46,16
Mumbai,CinepolisVivianaMall,Marathi,12:00,Executive,220₹,106,1
Mumbai,CinepolisVivianaMall,Marathi,12:00,Normal,200₹,27,0
Aurangabad,InoxProzoneMallChilkalthana,Marathi,12:25,Regular,160₹,212,5
Pune,PvrMarketCityVimanNagar,Marathi,12:45,Recliner,400₹,12,1
Pune,PvrMarketCityVimanNagar,Marathi,12:45,PrimePlus,300₹,15,1
Pune,PvrMarketCityVimanNagar,Marathi,12:45,Classic,200₹,80,0
Pune,PvrMarketCityVimanNagar,Marathi,12:45,Prime,200₹,129,2
Pune,InoxJaiGaneshVisionMallAkurdi,Marathi,13:05,Silver,160₹,49,10
Pune,InoxJaiGaneshVisionMallAkurdi,Marathi,13:05,Premiere,140₹,91,5
Mumbai,CinepolisSeawoodsLT,Marathi,13:10,Vip,420₹,14,0
Mumbai,CinepolisSeawoodsLT,Marathi,13:10,Premium,220₹,40,0
Mumbai,CinepolisSeawoodsLT,Marathi,13:10,Executive,200₹,74,0
Mumbai,CinepolisSeawoodsLT,Marathi,13:10,Normal,180₹,49,0
Pune,CinepolisSeasonsMall,Marathi,13:10,Premium,200₹,40,4
Pune,CinepolisSeasonsMall,Marathi,13:10,Normal,180₹,23,0
Pune,CinepolisSeasonsMall,Marathi,13:10,Executive,180₹,52,2
Mumbai,CarnivalMoviestarGoregaonW,Marathi,14:15,GoldOffline,130₹,46,0
Mumbai,CarnivalMoviestarGoregaonW,Marathi,14:15,SilverOffline,100₹,24,0
Mumbai,CarnivalHumaKanjurmargW,Marathi,15:15,PlatinumOffline,140₹,84,2
Mumbai,CarnivalHumaKanjurmargW,Marathi,15:15,GoldOffline,110₹,76,9
Mumbai,CarnivalHumaKanjurmargW,Marathi,15:15,SilverOffline,110₹,95,0
Mumbai,CarnivalImaxWadala,Marathi,16:00,PremiumOffline,210₹,53,4
Mumbai,CarnivalImaxWadala,Marathi,16:00,PlatinumOffline,160₹,220,2
Mumbai,CarnivalImaxWadala,Marathi,16:00,GoldOffline,140₹,84,0
Pune,CarnivalPremierPlazaChinchwad,Marathi,16:30,PremiumReclineOffline,250₹,19,4
Pune,CarnivalPremierPlazaChinchwad,Marathi,16:30,PlatinumOffline,170₹,189,14
Pune,CarnivalPremierPlazaChinchwad,Marathi,16:30,GoldOffline,150₹,80,0
Pune,CarnivalPremierPlazaChinchwad,Marathi,16:30,SilverOffline,130₹,40,6
Mumbai,PvrOrionPanvel,Marathi,18:45,PrimePlus,210₹,34,0
Mumbai,PvrOrionPanvel,Marathi,18:45,Prime,190₹,115,17
Mumbai,PvrOrionPanvel,Marathi,18:45,Classic,170₹,28,0
Pune,InoxJaiGaneshVisionMallAkurdi,Marathi,19:00,Silver,210₹,209,6
Pune,InoxJaiGaneshVisionMallAkurdi,Marathi,19:00,Premiere,180₹,106,2
Pune,InoxJaiGaneshVisionMallAkurdi,Marathi,19:00,Red,160₹,48,0
Nashik,CinemaxCityCenterNasik,Marathi,19:25,Recliner,360₹,18,18
Nashik,CinemaxCityCenterNasik,Marathi,19:25,Prime,220₹,139,95
Nashik,CinemaxCityCenterNasik,Marathi,19:25,Classic,180₹,34,0
Kolhapur,PvrDypCityMallKavalaNaka,Marathi,19:40,Classic,150₹,42,0
Kolhapur,PvrDypCityMallKavalaNaka,Marathi,19:40,Prime,150₹,194,61
