State,City,Name,Language,Time,Type,Price,Capacity,Booked
Gujarat,Vadodara,PvrTransCubeVadodara,Japanese,09:45,Recliner,300₹,8,0
Gujarat,Vadodara,PvrTransCubeVadodara,Japanese,09:45,Classic,140₹,34,0
Gujarat,Vadodara,PvrTransCubeVadodara,Japanese,09:45,Prime,140₹,100,18
Maharashtra,Pune,PvrMarketCityVimanNagar,Japanese,10:00,PrimePlus,150₹,10,6
Maharashtra,Pune,PvrMarketCityVimanNagar,Japanese,10:00,Classic,100₹,52,0
Maharashtra,Pune,PvrMarketCityVimanNagar,Japanese,10:00,Prime,100₹,119,23
Uttarakhand,Dehradun,PvrPacificMallDehradun,Japanese,10:05,Prime,99₹,87,0
Uttarakhand,Dehradun,PvrPacificMallDehradun,Japanese,10:05,Classic,99₹,24,0
Uttarakhand,Dehradun,PvrPacificMallDehradun,Japanese,10:05,PrimePlus,99₹,10,4
UttarPradesh,Noida,PvrLogixCityCentreNoida,Japanese,10:25,Classic,170₹,49,4
UttarPradesh,Noida,PvrLogixCityCentrePlayHouseNoida,Japanese,10:25,Classic,170₹,49,4
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Japanese,10:55,Recliner,149₹,8,3
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Japanese,10:55,Classic,99₹,48,0
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Japanese,10:55,Prime,99₹,110,15
Karnataka,Bangalore,PvrVegaPlayHouseBannerghattaRoad,Japanese,12:15,Classic,150₹,62,6
Uttarakhand,Dehradun,PvrPacificMallDehradun,Japanese,13:15,Prime,99₹,72,12
Uttarakhand,Dehradun,PvrPacificMallDehradun,Japanese,13:15,Classic,99₹,24,0
Tripura,Agartala,RupasiCinemaAgartala,Japanese,14:15,GoldClass,150₹,329,75
Telangana,Hyderabad,PvrNextGalleriaMallPanjagutta,Japanese,16:35,Classic,150₹,144,31
Maharashtra,Mumbai,InoxMegaplexInorbitMall,Japanese,17:30,Kiddles,150₹,53,1
Karnataka,Bangalore,PvrPlayHouseForumMallKoramangala,Japanese,18:30,Classic,180₹,92,11
