State,City,Name,Language,Time,Type,Price,Capacity,Booked
Karnataka,Udupi,DianaTheatre,Kannada,16:15,Balcony,80₹,112,0
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,19:00,Recliner,450₹,10,2
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,19:00,Prime,240₹,80,10
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,19:00,Classic,220₹,128,8
Karnataka,Udupi,DianaTheatre,Kannada,19:15,Balcony,80₹,112,0
Karnataka,Bangalore,InoxMantriSquareMalleshwaram,Kannada,19:25,Royal,440₹,10,3
Karnataka,Bangalore,InoxMantriSquareMalleshwaram,Kannada,19:25,Club,290₹,260,129
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,22:30,Recliner,370₹,14,0
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,22:30,Prime,230₹,40,0
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,22:30,Classic,210₹,105,0
