State,City,Name,Language,Time,Type,Price,Capacity,Booked
Assam,Guwahati,CinepolisCentralMall,English,17:50,Vip,300₹,4,0
Assam,Guwahati,CinepolisCentralMall,English,17:50,Normal,150₹,24,0
Assam,Guwahati,CinepolisCentralMall,English,17:50,Premium,150₹,42,0
Assam,Guwahati,CinepolisCentralMall,English,17:50,Executive,150₹,116,0
Odisha,Bhubaneswar,CinepolisEsplanade,English,20:00,Vip,350₹,11,0
Odisha,Bhubaneswar,CinepolisEsplanade,English,20:00,Normal,150₹,28,0
Odisha,Bhubaneswar,CinepolisEsplanade,English,20:00,Premium,150₹,51,4
Odisha,Bhubaneswar,CinepolisEsplanade,English,20:00,Executive,150₹,42,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,English,20:00,Vip,440₹,14,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,English,20:00,Premium,240₹,57,5
Maharashtra,Mumbai,CinepolisSeawoodsLT,English,20:00,Executive,220₹,70,5
Maharashtra,Mumbai,CinepolisSeawoodsLT,English,20:00,Normal,200₹,32,0
Delhi,DelhiNcr,CinepolisDlfAvenue,English,22:20,Vip,300₹,5,0
Delhi,DelhiNcr,CinepolisDlfAvenue,English,22:20,Normal,150₹,42,0
Delhi,DelhiNcr,CinepolisDlfAvenue,English,22:20,Premium,150₹,34,0
Delhi,DelhiNcr,CinepolisDlfAvenue,English,22:20,Executive,150₹,59,0
