City,Name,Language,Time,Type,Price,Capacity,Booked
Mumbai,InoxAtriaMallWorli,Hindi,10:00,Insignia,450₹,27,21
Mumbai,InoxRCityGhatkoparW,Hindi,11:45,Insignia,350₹,42,34
Mumbai,PaytmImaxInoxRCityGhatkoparW,Hindi,11:45,Insignia,350₹,42,34
DelhiNcr,PvrSelectCityWalkGoldSaket,Hindi,12:15,PlatinumSuperior,"1,200₹",12,8
DelhiNcr,PvrSelectCityWalkGoldSaket,Hindi,12:15,Platinum,"1,000₹",24,20
Mumbai,PvrIconInfinitiGoldAndheriW,Hindi,12:15,Luxe,500₹,51,4
Mumbai,PvrIconInfinitiGoldAndheriW,Hindi,12:15,LuxeSuperior,500₹,33,17
Gurgaon,PvrMgfMallGurgaon,Hindi,12:45,Recliner,630₹,8,7
Gurgaon,PvrMgfMallGurgaon,Hindi,12:45,Prime,480₹,39,39
Gurgaon,PvrMgfMallGurgaon,Hindi,12:45,Classic,380₹,85,22
Mumbai,InoxMegaplexInorbitMall,Hindi,13:05,Kiddles,250₹,53,46
Noida,PvrLogixCityCentreNoida,Hindi,13:35,Classic,345₹,78,43
Noida,PvrLogixCityCentreNoida,Hindi,13:35,Classic,345₹,83,79
Indore,PvrTreasureIslandMallSouthTukoganj,Hindi,15:30,Prime,250₹,69,68
Indore,PvrTreasureIslandMallSouthTukoganj,Hindi,15:30,Classic,230₹,28,7
Mumbai,PvrMarketCityGoldKurlaW,Hindi,15:45,GoldPremium,600₹,24,2
Mumbai,PvrMarketCityGoldKurlaW,Hindi,15:45,GoldStar,550₹,36,0
Mumbai,PvrIconOberoiPlayHouseGoregaonE,Hindi,19:35,Recliner,530₹,26,25
Mumbai,PvrIconOberoiPlayHouseGoregaonE,Hindi,19:35,Prime,300₹,96,69
Mumbai,PvrIconOberoiPlayHouseGoregaonE,Hindi,19:35,Classic,210₹,22,0
Mumbai,MovietimeHubMallGoregaonE,Hindi,19:50,Mhraja,200₹,44,36
DelhiNcr,PvrPacificSubhashNagar,Hindi,21:45,Prime,480₹,88,29
DelhiNcr,PvrPacificSubhashNagar,Hindi,21:45,Classic,440₹,52,0
DelhiNcr,PvrPromenadeVasantKunj,Hindi,22:40,Prime,470₹,44,10
DelhiNcr,PvrPromenadeVasantKunj,Hindi,22:40,Classic,440₹,50,0
DelhiNcr,PvrPromenadeVasantKunj,Hindi,22:40,Prime,470₹,44,10
DelhiNcr,PvrPromenadeVasantKunj,Hindi,22:40,Classic,440₹,50,0
DelhiNcr,PvrPromenadeVasantKunj,Hindi,22:40,Prime,470₹,44,11
DelhiNcr,PvrPromenadeVasantKunj,Hindi,22:40,Classic,440₹,50,0
DelhiNcr,PvrPromenadeVasantKunj,Hindi,22:40,Prime,470₹,44,10
DelhiNcr,PvrPromenadeVasantKunj,Hindi,22:40,Classic,440₹,50,0
DelhiNcr,PvrPromenadeVasantKunj,Hindi,22:40,Prime,470₹,44,10
DelhiNcr,PvrPromenadeVasantKunj,Hindi,22:40,Classic,440₹,50,0
DelhiNcr,PvrPromenadeVasantKunj,Hindi,22:40,Prime,470₹,44,19
DelhiNcr,PvrPromenadeVasantKunj,Hindi,22:40,Classic,440₹,50,0
Gurgaon,PvrAmbienceGoldGurgaon,Hindi,22:55,Platinum,600₹,28,2
Gurgaon,PvrAmbienceGoldGurgaon,Hindi,22:55,PlatinumSuperior,600₹,12,11
