State,City,Name,Language,Time,Type,Price,Capacity,Booked
Karnataka,Bangalore,PvrVegaBannerghattaRoad,English,14:00,Recliner,400₹,9,1
Karnataka,Bangalore,PvrVegaBannerghattaRoad,English,14:00,Classic,220₹,73,24
UttarPradesh,Noida,PvrLogixCityCentreNoida,English,17:20,Classic,99₹,78,16
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,English,19:35,Recliner,450₹,7,3
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,English,19:35,Classic,240₹,63,25
Maharashtra,Pune,CinepolisSeasonsMall,English,19:50,Premium,220₹,40,4
Maharashtra,Pune,CinepolisSeasonsMall,English,19:50,Executive,220₹,52,0
Maharashtra,Pune,CinepolisSeasonsMall,English,19:50,Normal,200₹,23,0
Maharashtra,Mumbai,CinepolisVivianaMall,English,22:00,Premium,260₹,46,20
Maharashtra,Mumbai,CinepolisVivianaMall,English,22:00,Executive,240₹,106,0
Maharashtra,Mumbai,CinepolisVivianaMall,English,22:00,Normal,220₹,27,0
