State,City,Name,Language,Time,Type,Price,Capacity,Booked
Maharashtra,Mumbai,MovietimeHubMallGoregaonE,Hindi,10:00,Mhraja,100₹,44,6
Maharashtra,Mumbai,CarnivalMoviestarGoregaonW,Hindi,15:35,GoldOffline,110₹,46,2
Maharashtra,Mumbai,CarnivalMoviestarGoregaonW,Hindi,15:35,SilverOffline,90₹,24,0
Haryana,Hisar,EliteCinemasHisar,Hindi,16:15,Lounge,250₹,30,0
Haryana,Hisar,EliteCinemasHisar,Hindi,16:15,Gold,100₹,30,0
Haryana,Rewari,BmgCinemasRewari,Hindi,18:20,Gold,110₹,229,51
Haryana,Gurgaon,CinepolisAiriaMall,Hindi,18:40,Vip,350₹,8,0
Haryana,Gurgaon,CinepolisAiriaMall,Hindi,18:40,Premium,240₹,17,2
Haryana,Gurgaon,CinepolisAiriaMall,Hindi,18:40,Executive,220₹,50,0
Haryana,Gurgaon,CinepolisAiriaMall,Hindi,18:40,Normal,200₹,21,10
